Sektör,reklam suresi SN,reklam maliyeti TL,ORTALAMA REYTING (TOPLAM İZLENME ORANI) %,ORTALAMA SHARE (İZLENME PAYI) % :,ORTALAMA AB grubu İzlenme %,prime time yayın oranı %,Diğer yayın zamanı oranı,Haftasonu REYTING (TOPLAM İZLENME ORANI) %,Satışa Etkisi
BEYAZ EŞYA,21.5,10359.74,0.33,0.18,0.58,0.26,0.74,0.91,TATMİNKAR
OTOMOTİVE,8.8,9383.23,0.34,0.18,0.35,0.50,0.50,0.38,TATMİNKAR
MOBİLYA,28.4,10493.96,0.28,0.58,0.25,0.44,0.56,0.37,TATMİNKAR
MOBİLYA,9.8,24724.47,0.49,0.48,0.56,0.70,0.30,0.31,TATMİNKAR
GİYİM,29.9,12836,0.42,0.17,0.93,0.44,0.56,0.14,TATMİNKAR
BEYAZ EŞYA,15,2663.46,0.19,0.10,0.78,0.86,0.14,1.00,TATMİNKAR
GİYİM,23.2,12942.79,0.44,0.08,0.50,0.55,0.45,0.00,TATMİNKAR
BEYAZ EŞYA,6.3,3975.34,0.49,0.62,0.67,1.00,0.00,0.40,TATMİNKAR
DİĞER,27.7,23211.09,0.55,0.84,0.19,0.54,0.46,0.56,TATMİNKAR
MOBİLYA,26.3,8155.87,0.39,0.72,0.43,0.99,0.01,0.01,TATMİNKAR
GIDA,10.1,2460.45,0.33,0.18,0.76,0.67,0.33,0.58,TATMİNKAR
GIDA,28.5,13224.58,0.40,0.55,0.65,0.92,0.08,0.04,TATMİNKAR
BEYAZ EŞYA,23.9,20305.75,0.40,0.17,0.65,0.88,0.12,0.99,TATMİNKAR
GIDA,14.8,7621.97,0.37,0.97,0.52,0.70,0.30,0.17,TATMİNKAR
GIDA,18.5,10823.77,0.41,0.90,0.89,0.52,0.48,0.84,TATMİNKAR
MOBİLYA,0.6,20920.89,0.36,0.01,0.59,0.15,0.85,0.50,TATMİNKAR
BEYAZ EŞYA,13.7,12424.97,0.48,0.85,0.53,0.93,0.07,0.08,TATMİNKAR
OTOMOTİVE,31.6,14503.87,0.46,0.84,0.49,0.92,0.08,0.29,TATMİNKAR
DİĞER,28.6,15396.84,0.35,0.19,0.40,0.67,0.33,0.17,TATMİNKAR
GIDA,17.4,12642.53,0.30,0.51,0.10,0.95,0.05,0.28,TATMİNKAR
BEYAZ EŞYA,34.7,8705.57,0.36,0.39,0.87,0.66,0.34,0.88,TATMİNKAR
OTOMOTİVE,23.1,7833.49,0.36,0.86,0.33,0.82,0.18,0.50,TATMİNKAR
GİYİM,30.6,658.82,0.38,0.18,0.02,0.64,0.36,0.19,TATMİNKAR
GIDA,30.5,6463.55,0.42,0.63,0.46,0.16,0.84,0.35,TATMİNKAR
MOBİLYA,3.5,10385.19,0.36,0.15,0.59,0.70,0.30,0.61,TATMİNKAR
OTOMOTİVE,8.7,6269.67,0.34,0.75,0.08,0.06,0.94,0.76,TATMİNKAR
MOBİLYA,7.5,8224.2,0.25,0.56,0.40,0.81,0.19,0.54,TATMİNKAR
OTOMOTİVE,10.2,15562.39,0.30,0.51,0.63,0.87,0.13,0.37,TATMİNKAR
MOBİLYA,17.2,14789.6,0.40,0.19,0.77,0.20,0.80,0.58,TATMİNKAR
DİĞER,26.6,14533.82,0.37,0.68,0.83,0.23,0.77,0.93,TATMİNKAR
GIDA,22.1,9241.59,0.52,0.04,0.83,0.80,0.20,0.45,TATMİNKAR
MOBİLYA,9.6,5175.54,0.33,0.75,0.70,0.43,0.57,0.19,TATMİNKAR
OTOMOTİVE,24.1,5384.6,0.40,0.93,0.47,0.44,0.56,0.62,TATMİNKAR
GİYİM,34.2,9072.43,0.34,0.47,0.60,0.60,0.40,0.95,TATMİNKAR
GIDA,29.1,2535.43,0.58,0.72,0.26,0.87,0.13,0.35,TATMİNKAR
MOBİLYA,24.1,8461.42,0.48,0.89,0.67,0.66,0.34,0.90,TATMİNKAR
OTOMOTİVE,25.2,25432.64,0.28,0.79,0.08,0.20,0.80,0.98,TATMİNKAR
GIDA,33.5,1583.73,0.38,0.28,0.76,0.99,0.01,0.54,TATMİNKAR
GİYİM,11.3,19304.42,0.35,0.17,0.42,0.04,0.96,0.35,TATMİNKAR
OTOMOTİVE,15.6,14351.16,0.39,0.41,0.70,0.29,0.71,0.81,TATMİNKAR
GIDA,20.2,15618.84,0.40,0.48,0.90,0.83,0.17,0.11,TATMİNKAR
BEYAZ EŞYA,12.3,5268.34,0.51,0.81,0.99,0.94,0.06,0.12,TATMİNKAR
DİĞER,8.9,3382.69,0.38,0.47,0.04,0.75,0.25,0.24,TATMİNKAR
DİĞER,24.7,19739.89,0.29,0.08,0.84,0.72,0.28,0.90,TATMİNKAR
DİĞER,21.8,12469.12,0.30,0.78,0.65,0.80,0.20,0.25,TATMİNKAR
OTOMOTİVE,7.2,9457.02,0.47,0.30,0.23,0.13,0.87,0.90,TATMİNKAR
DİĞER,14.3,12361.96,0.41,0.55,0.53,0.58,0.42,0.55,TATMİNKAR
OTOMOTİVE,5.1,17808.13,0.50,0.49,0.55,0.37,0.63,0.52,TATMİNKAR
MOBİLYA,35.7,12596.51,0.44,0.82,0.79,0.32,0.68,0.10,TATMİNKAR
GİYİM,23.5,8342.43,0.35,0.90,0.10,0.64,0.36,0.20,TATMİNKAR
GİYİM,15.2,11765.04,0.40,0.18,0.72,0.70,0.30,0.58,TATMİNKAR
GIDA,11.1,5107.05,0.27,0.08,0.92,0.74,0.26,0.86,TATMİNKAR
GİYİM,18,11595.84,0.51,0.21,0.36,0.16,0.84,0.70,TATMİNKAR
BEYAZ EŞYA,22.3,8225.9,0.27,0.41,0.20,0.77,0.23,0.73,TATMİNKAR
DİĞER,23.3,15357.7,0.36,0.74,0.66,0.63,0.37,0.12,TATMİNKAR
GİYİM,36.6,2742.99,0.37,0.35,0.42,0.48,0.52,0.45,TATMİNKAR
GIDA,14.9,12443.5,0.33,0.54,0.62,0.72,0.28,0.36,TATMİNKAR
GİYİM,8.6,10723.62,0.44,0.03,0.28,0.60,0.40,0.46,TATMİNKAR
DİĞER,21,14854.8,0.29,0.59,0.49,0.61,0.39,0.51,TATMİNKAR
MOBİLYA,34.4,14177.39,0.52,0.40,0.44,0.20,0.80,0.06,TATMİNKAR
GIDA,19.7,4131.36,0.36,0.83,0.21,0.76,0.24,0.82,TATMİNKAR
MOBİLYA,13.7,17987.23,0.29,0.60,0.52,0.57,0.43,0.17,TATMİNKAR
MOBİLYA,3.1,12152.48,0.31,0.06,0.30,0.16,0.84,0.36,TATMİNKAR
GIDA,5.8,16298.67,0.32,0.85,0.42,0.54,0.46,0.95,TATMİNKAR
GIDA,16.7,16218.49,0.32,0.61,0.86,0.86,0.14,0.63,TATMİNKAR
GİYİM,6.7,12272.66,0.42,0.38,0.70,0.40,0.60,0.82,TATMİNKAR
MOBİLYA,28.6,17266.56,0.30,0.90,0.06,0.34,0.66,0.14,TATMİNKAR
GIDA,1.3,13432.38,0.47,0.50,0.03,0.38,0.62,0.71,TATMİNKAR
OTOMOTİVE,18.6,3372.41,0.53,0.84,0.54,0.60,0.40,0.34,TATMİNKAR
DİĞER,31.2,9267.77,0.44,0.46,0.43,0.99,0.01,0.44,TATMİNKAR
OTOMOTİVE,2.2,4158.29,0.32,0.46,0.58,0.41,0.59,0.29,TATMİNKAR
GİYİM,20.1,12222.78,0.32,0.03,0.42,0.48,0.52,0.59,TATMİNKAR
BEYAZ EŞYA,30.4,1931.61,0.30,0.06,0.44,0.87,0.13,0.77,TATMİNKAR
MOBİLYA,21.9,22425.82,0.38,0.70,0.51,0.98,0.02,0.04,TATMİNKAR
GIDA,7.1,973,0.26,0.29,0.22,0.81,0.19,0.18,TATMİNKAR
MOBİLYA,47.8,15435.14,0.23,0.12,0.76,0.48,0.52,0.67,TATMİNKAR
OTOMOTİVE,19.7,12908,0.43,0.85,0.67,0.62,0.38,0.84,TATMİNKAR
MOBİLYA,30,12155.25,0.40,0.90,0.58,0.09,0.91,0.23,TATMİNKAR
BEYAZ EŞYA,17,3018.98,0.27,0.08,0.22,0.83,0.17,0.73,TATMİNKAR
BEYAZ EŞYA,10.1,1903.67,0.32,0.31,0.17,0.90,0.10,0.94,TATMİNKAR
GIDA,35.2,9769,0.44,0.39,0.45,0.25,0.75,0.87,TATMİNKAR
OTOMOTİVE,25.9,16217.52,0.32,0.69,0.07,0.93,0.07,0.28,TATMİNKAR
DİĞER,19.3,15133.11,0.44,0.26,0.15,0.24,0.76,1.00,TATMİNKAR
BEYAZ EŞYA,25.9,15960.19,0.22,0.90,0.34,0.39,0.61,0.10,TATMİNKAR
DİĞER,12,17075,0.26,0.70,0.20,0.95,0.05,0.32,TATMİNKAR
GIDA,23.6,4243.09,0.48,0.68,0.69,0.37,0.63,0.48,TATMİNKAR
GIDA,11,2640.19,0.45,0.82,0.97,0.94,0.06,0.66,TATMİNKAR
GIDA,15.5,17830.71,0.27,0.79,0.95,0.11,0.89,0.28,TATMİNKAR
DİĞER,8.8,17336.64,0.35,0.23,0.79,0.74,0.26,0.25,TATMİNKAR
GIDA,18.7,7932,0.37,0.55,0.59,0.25,0.75,0.95,TATMİNKAR
DİĞER,12.4,11901.21,0.36,0.80,0.65,0.56,0.44,0.12,TATMİNKAR
MOBİLYA,17.8,16394.94,0.43,0.27,0.72,0.49,0.51,0.11,TATMİNKAR
GIDA,11.5,24471.73,0.61,0.06,0.26,0.47,0.53,0.66,TATMİNKAR
DİĞER,15,13080.25,0.13,0.13,0.06,0.79,0.21,0.17,TATMİNKAR
MOBİLYA,17.1,9937.45,0.49,0.65,0.84,0.68,0.32,0.02,TATMİNKAR
OTOMOTİVE,9,11381.65,0.32,0.61,0.95,0.24,0.76,0.99,TATMİNKAR
DİĞER,21.8,20651.74,0.47,0.31,0.48,0.54,0.46,0.72,TATMİNKAR
DİĞER,19.1,15946.99,0.61,0.40,0.87,0.16,0.84,0.79,TATMİNKAR
DİĞER,15.6,9505.44,0.41,0.06,0.31,0.73,0.27,0.60,TATMİNKAR
MOBİLYA,8.4,9702.54,0.29,0.86,0.78,0.61,0.39,0.61,TATMİNKAR
GIDA,26.2,3778.42,0.40,0.27,0.88,0.54,0.46,0.45,TATMİNKAR
MOBİLYA,21.2,6661.54,0.30,0.95,0.11,0.41,0.59,0.40,TATMİNKAR
OTOMOTİVE,19.7,13097.89,0.43,0.23,0.95,0.35,0.65,0.33,TATMİNKAR
DİĞER,21.6,20319.61,0.34,0.80,0.26,0.96,0.04,0.54,TATMİNKAR
OTOMOTİVE,13.5,1055.44,0.42,0.18,0.00,0.13,0.87,0.79,TATMİNKAR
MOBİLYA,27.2,18261.3,0.40,0.54,0.60,0.66,0.34,0.39,TATMİNKAR
MOBİLYA,13.3,20095.6,0.48,0.11,0.08,0.88,0.12,0.60,TATMİNKAR
MOBİLYA,27,10709.65,0.43,0.76,0.61,0.63,0.37,0.53,TATMİNKAR
GİYİM,9.8,21686.04,0.44,0.48,0.61,0.52,0.48,0.74,TATMİNKAR
BEYAZ EŞYA,4.8,10623.58,0.61,0.51,0.13,0.44,0.56,0.04,TATMİNKAR
GİYİM,17.8,9409.64,0.35,0.84,0.71,0.85,0.15,0.91,TATMİNKAR
OTOMOTİVE,13.2,1446.55,0.36,0.33,0.92,0.45,0.55,0.68,TATMİNKAR
GİYİM,22.3,7864.52,0.46,0.48,0.40,0.06,0.94,0.13,TATMİNKAR
DİĞER,22.8,4192.51,0.34,0.66,0.43,0.76,0.24,0.63,TATMİNKAR
MOBİLYA,20,5301.33,0.21,0.31,0.80,0.75,0.25,0.29,TATMİNKAR
MOBİLYA,18.1,5980.94,0.32,0.32,0.94,0.14,0.86,0.74,TATMİNKAR
BEYAZ EŞYA,30.9,15058.73,0.32,0.53,0.03,0.14,0.86,0.92,TATMİNKAR
GIDA,30.7,17265.92,0.30,0.88,0.84,0.69,0.31,0.53,TATMİNKAR
MOBİLYA,10.1,12630.95,0.41,0.91,0.86,0.55,0.45,0.76,TATMİNKAR
MOBİLYA,31.6,22763.29,0.42,0.29,0.86,0.81,0.19,0.69,TATMİNKAR
BEYAZ EŞYA,17,11214.99,0.54,0.99,0.49,0.98,0.02,0.96,TATMİNKAR
MOBİLYA,33.5,21603.92,0.19,0.22,0.16,0.15,0.85,0.55,TATMİNKAR
MOBİLYA,19.2,20414.58,0.37,0.66,0.16,0.35,0.65,0.12,TATMİNKAR
GİYİM,23.6,4177.31,0.41,0.27,0.70,0.03,0.97,0.46,TATMİNKAR
MOBİLYA,5.6,13909.93,0.24,0.62,0.37,0.73,0.27,0.81,TATMİNKAR
BEYAZ EŞYA,17,8277.46,0.38,0.80,0.35,0.86,0.14,0.71,TATMİNKAR
MOBİLYA,5,19678.82,0.52,0.96,0.14,0.67,0.33,0.52,TATMİNKAR
BEYAZ EŞYA,22.5,23288.3,0.45,0.63,0.48,0.09,0.91,0.91,TATMİNKAR
DİĞER,28.6,10658.1,0.33,0.91,0.29,0.89,0.11,0.45,TATMİNKAR
GİYİM,29,5677.65,0.13,0.61,0.10,0.30,0.70,0.23,TATMİNKAR
OTOMOTİVE,32,13634.62,0.19,0.77,0.92,0.68,0.32,0.64,TATMİNKAR
DİĞER,17.5,33431.03,0.33,0.49,0.59,0.25,0.75,0.01,TATMİNKAR
BEYAZ EŞYA,12.6,4684.98,0.35,0.83,0.06,0.56,0.44,0.19,TATMİNKAR
OTOMOTİVE,8.5,17494.13,0.48,0.26,0.35,0.68,0.32,0.68,TATMİNKAR
BEYAZ EŞYA,2,8618.4,0.23,0.38,0.54,0.12,0.88,0.08,TATMİNKAR
BEYAZ EŞYA,20.2,16724.92,0.56,0.63,0.77,0.53,0.47,0.67,TATMİNKAR
MOBİLYA,15.4,2957.07,0.13,0.01,0.12,0.39,0.61,0.51,TATMİNKAR
GIDA,3.9,11185.18,0.33,0.18,0.29,0.21,0.79,0.07,TATMİNKAR
GIDA,28.3,20726.44,0.42,0.56,0.74,0.41,0.59,0.99,TATMİNKAR
DİĞER,13.1,1211.15,0.36,0.40,0.23,0.84,0.16,0.91,TATMİNKAR
MOBİLYA,7.1,8965.23,0.47,0.27,0.86,0.48,0.52,0.54,TATMİNKAR
GİYİM,29.7,11620.82,0.33,0.74,0.56,0.13,0.87,0.74,TATMİNKAR
GİYİM,4.7,3038.89,0.43,0.52,0.09,0.14,0.86,0.27,TATMİNKAR
DİĞER,38.9,15430.34,0.38,0.83,0.62,0.26,0.74,0.89,TATMİNKAR
GİYİM,9.5,20505.31,0.44,0.96,0.36,0.63,0.37,0.30,TATMİNKAR
MOBİLYA,22.7,12240.05,0.35,0.39,0.33,0.53,0.47,0.28,TATMİNKAR
DİĞER,18.8,7757.49,0.38,0.75,0.71,0.47,0.53,0.77,TATMİNKAR
GIDA,23.2,1481.16,0.42,0.91,0.89,0.73,0.27,0.41,TATMİNKAR
GIDA,29.3,6563.15,0.20,0.05,0.52,0.19,0.81,0.57,TATMİNKAR
BEYAZ EŞYA,21.2,6285.44,0.50,0.39,0.13,0.57,0.43,0.40,TATMİNKAR
OTOMOTİVE,11.6,11411.45,0.45,0.52,0.54,0.02,0.98,0.42,TATMİNKAR
GIDA,21.1,6272.29,0.31,0.41,0.28,0.38,0.62,0.69,TATMİNKAR
OTOMOTİVE,16.1,19196.7,0.38,0.77,0.42,0.16,0.84,0.06,TATMİNKAR
BEYAZ EŞYA,16.8,9467.06,0.10,0.07,0.06,0.94,0.06,0.59,TATMİNKAR
GIDA,18.4,6030.86,0.35,0.31,0.09,0.58,0.42,0.70,TATMİNKAR
MOBİLYA,18.1,7869.87,0.51,0.75,0.98,0.55,0.45,0.52,TATMİNKAR
GIDA,21.8,20910.07,0.30,0.89,0.62,0.13,0.87,0.39,TATMİNKAR
GIDA,10.1,12776.29,0.26,0.48,0.91,0.85,0.15,0.10,TATMİNKAR
BEYAZ EŞYA,23.4,7006.15,0.35,0.27,0.76,0.33,0.67,0.41,TATMİNKAR
GIDA,24,18024.91,0.43,0.29,0.85,0.57,0.43,0.18,TATMİNKAR
OTOMOTİVE,19,24677.66,0.61,0.86,0.64,0.60,0.40,0.77,TATMİNKAR
GIDA,17.5,18072.43,0.29,0.00,0.58,0.03,0.97,0.88,TATMİNKAR
DİĞER,14.2,10107.33,0.12,0.84,0.45,0.78,0.22,0.08,TATMİNKAR
GİYİM,25.1,12427.89,0.29,0.39,0.95,0.67,0.33,0.10,TATMİNKAR
GIDA,15.7,6848.2,0.50,0.59,0.19,0.05,0.95,0.32,TATMİNKAR
OTOMOTİVE,16.8,2483.71,0.27,0.40,0.94,0.39,0.61,0.30,TATMİNKAR
OTOMOTİVE,25.5,19874.33,0.37,0.15,0.05,0.37,0.63,0.34,TATMİNKAR
DİĞER,35.3,5746.48,0.57,0.42,0.78,0.89,0.11,0.52,TATMİNKAR
MOBİLYA,13.4,3989.91,0.41,0.73,0.85,0.14,0.86,0.70,TATMİNKAR
GIDA,21.2,20580.49,0.37,0.29,0.24,0.66,0.34,0.64,TATMİNKAR
MOBİLYA,7.5,3767.91,0.54,0.31,0.52,0.50,0.50,0.13,TATMİNKAR
MOBİLYA,25,29345.96,0.61,0.95,0.03,0.14,0.86,0.13,TATMİNKAR
GİYİM,7.1,15612.62,0.40,0.61,0.22,0.75,0.25,0.70,TATMİNKAR
DİĞER,14.9,151.79,0.50,0.36,0.62,0.69,0.31,0.48,TATMİNKAR
OTOMOTİVE,27.5,7586.12,0.46,0.25,0.42,0.76,0.24,0.67,TATMİNKAR
OTOMOTİVE,23,6973.86,0.40,0.36,0.69,0.32,0.68,0.74,TATMİNKAR
BEYAZ EŞYA,10.7,10492.23,0.38,0.68,0.85,0.60,0.40,0.00,TATMİNKAR
MOBİLYA,10.5,15967.76,0.35,0.86,0.42,0.12,0.88,0.47,TATMİNKAR
OTOMOTİVE,4.9,12128.78,0.32,0.43,0.45,0.90,0.10,0.87,TATMİNKAR
GİYİM,27.9,19490.72,0.22,0.03,0.72,0.44,0.56,0.25,TATMİNKAR
BEYAZ EŞYA,8,12021.2,0.53,0.29,0.10,0.52,0.48,0.61,TATMİNKAR
MOBİLYA,18.5,12481.41,0.38,0.62,0.42,0.19,0.81,0.45,TATMİNKAR
DİĞER,4.6,22204.6,0.33,0.60,0.85,0.42,0.58,0.91,TATMİNKAR
OTOMOTİVE,9.2,17100.65,0.33,0.83,0.06,0.61,0.39,0.28,TATMİNKAR
OTOMOTİVE,16.8,8656.85,0.30,0.27,0.83,0.40,0.60,0.89,TATMİNKAR
GİYİM,10.7,29075.44,0.50,0.12,0.44,0.52,0.48,0.88,TATMİNKAR
BEYAZ EŞYA,11.6,5913.81,0.41,0.13,0.61,0.66,0.34,0.72,TATMİNKAR
DİĞER,18.8,11760.81,0.39,0.74,0.71,0.56,0.44,0.15,TATMİNKAR
OTOMOTİVE,48.5,11818.1,0.39,0.94,0.97,0.51,0.49,0.17,TATMİNKAR
GIDA,11.7,17601.55,0.27,0.13,0.71,0.30,0.70,0.79,TATMİNKAR
GIDA,16.4,9630.22,0.23,0.83,0.80,0.72,0.28,0.89,TATMİNKAR
DİĞER,19,16591.75,0.42,0.97,0.61,0.74,0.26,0.08,TATMİNKAR
DİĞER,13.6,8166.18,0.34,0.81,0.34,0.14,0.86,0.52,TATMİNKAR
BEYAZ EŞYA,23.7,11412.8,0.39,0.44,0.26,0.16,0.84,0.59,TATMİNKAR
MOBİLYA,20.8,17879.4,0.42,0.43,0.77,0.04,0.96,0.28,TATMİNKAR
DİĞER,4.4,13460.82,0.09,0.52,0.35,0.08,0.92,0.87,TATMİNKAR
GİYİM,10.6,9749.92,0.47,0.08,0.98,0.53,0.47,0.51,TATMİNKAR
GİYİM,17.2,3582.94,0.41,0.85,0.23,0.84,0.16,0.71,TATMİNKAR
BEYAZ EŞYA,28.7,15879.97,0.34,0.68,0.22,0.57,0.43,0.70,TATMİNKAR
GİYİM,25.8,19377.04,0.37,0.86,0.88,0.24,0.76,0.86,TATMİNKAR
BEYAZ EŞYA,19,20196.33,0.37,0.43,0.35,0.26,0.74,0.55,TATMİNKAR
GIDA,35.4,13712.81,0.44,0.12,0.57,0.75,0.25,0.16,TATMİNKAR
DİĞER,21.2,394.96,0.24,0.42,0.01,0.15,0.85,0.68,TATMİNKAR
BEYAZ EŞYA,7.8,19515.19,0.39,0.47,0.57,0.15,0.85,0.54,TATMİNKAR
MOBİLYA,32.5,10492,0.18,0.77,0.18,0.59,0.41,0.13,TATMİNKAR
DİĞER,19.5,10639.66,0.43,0.55,0.16,0.24,0.76,0.10,TATMİNKAR
GIDA,16.8,9648.58,0.36,0.42,0.88,0.96,0.04,0.29,TATMİNKAR
DİĞER,16.6,9976.3,0.35,0.80,0.11,0.24,0.76,0.67,TATMİNKAR
GIDA,12.6,15699.32,0.36,0.89,0.26,0.87,0.13,0.74,TATMİNKAR
MOBİLYA,21.9,21479.07,0.09,0.12,0.36,0.58,0.42,0.45,TATMİNKAR
DİĞER,11.6,1813.74,0.39,0.41,0.66,0.08,0.92,0.09,TATMİNKAR
GIDA,21.6,16421.11,0.25,0.47,0.17,0.88,0.12,0.65,TATMİNKAR
DİĞER,13.8,4702.28,0.47,0.72,0.36,0.54,0.46,0.84,TATMİNKAR
GIDA,23.4,3467.89,0.18,0.12,0.92,0.97,0.03,0.40,TATMİNKAR
GIDA,12.8,5344.8,0.47,0.58,0.25,0.25,0.75,0.30,TATMİNKAR
MOBİLYA,24.3,25309.07,0.31,0.31,0.94,0.12,0.88,0.28,TATMİNKAR
BEYAZ EŞYA,0.6,5899.49,0.30,0.06,0.04,0.53,0.47,0.69,TATMİNKAR
MOBİLYA,2.3,6201.26,0.47,0.71,0.64,0.62,0.38,0.72,TATMİNKAR
GIDA,17.3,12478.4,0.37,0.58,0.29,0.43,0.57,0.32,TATMİNKAR
OTOMOTİVE,24.4,16335.98,0.41,0.22,0.94,0.21,0.79,0.43,TATMİNKAR
MOBİLYA,21.6,16265.48,0.42,0.03,0.17,1.00,0.00,0.50,TATMİNKAR
OTOMOTİVE,24,8199.54,0.38,0.52,0.22,0.73,0.27,0.43,TATMİNKAR
BEYAZ EŞYA,9.8,11951.06,0.26,0.40,0.86,0.30,0.70,0.68,TATMİNKAR
MOBİLYA,20.6,6383.81,0.25,0.84,0.51,0.58,0.42,0.09,TATMİNKAR
GİYİM,18,13386.95,0.36,0.65,0.46,0.05,0.95,0.95,TATMİNKAR
MOBİLYA,20.4,9663.64,0.60,0.30,0.66,0.11,0.89,0.21,TATMİNKAR
GIDA,23.6,25387.07,0.29,0.89,0.02,0.34,0.66,0.28,TATMİNKAR
BEYAZ EŞYA,6.3,16455.5,0.31,0.11,0.18,0.40,0.60,0.05,TATMİNKAR
MOBİLYA,14.4,7619.23,0.27,0.93,0.77,0.07,0.93,0.04,TATMİNKAR
OTOMOTİVE,28.7,4495.07,0.48,0.42,0.20,0.12,0.88,0.48,TATMİNKAR
GİYİM,13.2,1335.44,0.39,0.36,0.06,0.39,0.61,0.43,TATMİNKAR
OTOMOTİVE,20.6,11854.96,0.24,0.89,0.68,0.21,0.79,0.00,TATMİNKAR
OTOMOTİVE,29.8,8067.18,0.32,0.89,0.71,0.54,0.46,0.69,TATMİNKAR
BEYAZ EŞYA,32.3,20156.63,0.19,0.27,0.24,0.81,0.19,0.52,TATMİNKAR
OTOMOTİVE,10.8,759.2,0.35,0.86,0.12,0.33,0.67,0.48,TATMİNKAR
GIDA,13.6,19182.27,0.34,0.69,0.92,0.79,0.21,0.90,TATMİNKAR
GIDA,6.3,7556.2,0.28,0.20,0.48,0.64,0.36,0.82,TATMİNKAR
BEYAZ EŞYA,14.5,12854.14,0.29,0.60,0.70,0.69,0.31,0.35,TATMİNKAR
OTOMOTİVE,19.1,13976.19,0.55,0.42,0.16,0.26,0.74,0.45,TATMİNKAR
BEYAZ EŞYA,33.2,11610.1,0.27,0.20,0.23,0.95,0.05,0.56,TATMİNKAR
GIDA,22,7837.99,0.43,0.75,0.73,0.28,0.72,0.21,TATMİNKAR
GİYİM,26.4,11945.49,0.35,0.83,0.70,0.86,0.14,0.16,TATMİNKAR
DİĞER,22.1,8591.73,0.23,0.53,0.08,0.44,0.56,0.36,TATMİNKAR
OTOMOTİVE,17.4,10690.8,0.28,0.26,0.57,0.47,0.53,0.05,TATMİNKAR
GİYİM,17.3,5377.56,0.32,0.60,0.42,0.50,0.50,0.50,TATMİNKAR
GİYİM,16.7,9537.38,0.38,0.70,0.28,0.05,0.95,0.33,TATMİNKAR
MOBİLYA,21.2,11043.96,0.40,0.49,0.95,0.28,0.72,0.42,TATMİNKAR
GİYİM,34,8196.76,0.24,0.49,0.50,0.09,0.91,0.88,TATMİNKAR
GİYİM,32.7,23067.04,0.54,0.84,0.66,0.60,0.40,0.51,TATMİNKAR
MOBİLYA,26.1,6453.88,0.36,0.34,0.24,0.30,0.70,0.24,TATMİNKAR
BEYAZ EŞYA,6.6,6750.71,0.42,0.82,0.99,0.66,0.34,0.13,TATMİNKAR
GİYİM,21.7,14919.36,0.50,0.46,0.96,0.26,0.74,0.41,TATMİNKAR
DİĞER,20,12022.83,0.22,0.74,0.70,0.98,0.02,0.34,TATMİNKAR
OTOMOTİVE,32.4,13609.29,0.39,0.01,0.92,0.46,0.54,0.45,TATMİNKAR
OTOMOTİVE,12.1,4650,0.39,0.92,0.18,0.56,0.44,0.09,TATMİNKAR
OTOMOTİVE,26.8,9036.29,0.55,0.32,0.77,0.91,0.09,0.20,TATMİNKAR
DİĞER,22.3,10060.74,0.36,0.80,0.45,0.73,0.27,0.96,TATMİNKAR
GİYİM,25.8,5211.06,0.45,0.19,0.84,0.89,0.11,0.10,TATMİNKAR
GIDA,20.4,11378.79,0.16,0.62,0.09,0.52,0.48,0.19,TATMİNKAR
OTOMOTİVE,30,9924.24,0.43,0.63,0.16,0.00,1.00,0.24,TATMİNKAR
OTOMOTİVE,24,10449.05,0.61,0.47,0.77,0.12,0.88,0.97,TATMİNKAR
BEYAZ EŞYA,23.2,10032.15,0.34,0.58,0.40,0.96,0.04,0.17,TATMİNKAR
DİĞER,5.9,5459.12,0.30,0.81,0.67,0.42,0.58,0.61,TATMİNKAR
GIDA,3.1,10845.72,0.38,0.55,0.14,0.99,0.01,0.27,TATMİNKAR
MOBİLYA,25,369.1,0.37,0.44,0.30,0.12,0.88,0.42,TATMİNKAR
BEYAZ EŞYA,23.8,1937.25,0.59,0.38,0.98,0.78,0.22,0.88,TATMİNKAR
MOBİLYA,21.8,19570.14,0.34,0.94,0.31,0.06,0.94,0.51,TATMİNKAR
GIDA,8.1,19477.42,0.49,0.80,0.02,0.07,0.93,0.95,TATMİNKAR
GİYİM,15.9,10963.25,0.37,0.86,0.05,0.80,0.20,0.77,TATMİNKAR
BEYAZ EŞYA,12.1,11520.91,0.40,0.87,0.38,0.40,0.60,0.65,TATMİNKAR
GIDA,22.4,12033.93,0.35,0.99,0.60,0.51,0.49,0.47,TATMİNKAR
OTOMOTİVE,30.2,14382.45,0.59,0.24,0.67,0.05,0.95,0.76,TATMİNKAR
GIDA,12.4,5979.77,0.35,0.36,0.76,0.35,0.65,0.63,TATMİNKAR
BEYAZ EŞYA,19,8732.25,0.29,0.55,0.87,0.04,0.96,0.03,TATMİNKAR
GİYİM,12.6,10513.9,0.36,0.10,0.40,0.08,0.92,0.19,TATMİNKAR
BEYAZ EŞYA,11.7,11810.19,0.35,0.39,0.63,0.57,0.43,0.02,TATMİNKAR
GIDA,29.2,6924.3,0.37,0.24,0.74,0.58,0.42,0.66,TATMİNKAR
GİYİM,31.3,3827.14,0.32,0.05,0.70,0.56,0.44,0.32,TATMİNKAR
GIDA,4.5,13097.68,0.47,0.29,0.74,0.65,0.35,0.50,TATMİNKAR
